Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
"IPF4 - Verify  if account creation failed, System displays an error",N7-42,10294,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:15 PM,06/Jan/23 4:45 PM,10/Mar/23 2:22 PM,,,0,EditAccount," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-44,,N7-40,Error-free display,,,,,,,,,,BAN-8,Edit Account,,," if account creation failed, System displays an error",,,,,0|i001mn:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF3 - Verify If successful account creation, the system displays a message",N7-40,10292,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:14 PM,06/Jan/23 4:44 PM,10/Mar/23 2:22 PM,,,0,EditAccount," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-42,,N7-39,Error-free display,,,,,,,,,,BAN-8,Edit Account,,," If successful account creation, the system displays a message",,,,,0|i001m7:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF2 - Verify Account edit successful, go to Account Information page New Account",N7-39,10291,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:13 PM,06/Jan/23 4:44 PM,17/Mar/23 8:52 PM,,,0,EditAccount," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-40,,N7-37,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"F2 account edit successful, go to Account Information page
New Account ",,,,,0|i001lz:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"SC - Verify Edit account -After successfully creating an account, you can log in",N7-38,10290,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,hieu nhu,6392e5b0fde064eda2f2f3db,hieu nhu,6392e5b0fde064eda2f2f3db,06/Jan/23 4:07 PM,06/Jan/23 4:18 PM,17/Mar/23 8:52 PM,,,0,NewAccount,"After successfully creating an account, you can log in",,hieu nhu,6392e5b0fde064eda2f2f3db,,,,,,,,,,,,message displayed: Your password has been updated.,,,,,,,,,,BAN-7,New Account,,,message displayed: Your password has been updated.,,,,,0|i001lr:,,BAN Sprint 3,,,,,,,,System,"1. on Thay đổi mật khẩu
2. enter required field
3.enter tieptuc",,Pass,,,To Do
"IPF1 - Verify  Account editing is successful, the system displays a successful message",N7-37,10289,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:07 PM,06/Jan/23 4:44 PM,17/Mar/23 8:52 PM,,,0,EditAccount," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-39,,,Error-free display,,,,,,,,,,BAN-8,Edit Account,,," Account editing is successful, the system displays a successful message",,,,,0|i001e3:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"SC - Verify New Account -After successfully creating an account, you can change your information",N7-36,10288,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,hieu nhu,6392e5b0fde064eda2f2f3db,hieu nhu,6392e5b0fde064eda2f2f3db,06/Jan/23 4:02 PM,06/Jan/23 4:14 PM,17/Mar/23 8:52 PM,,,0,NewAccount,"* After successfully creating an account, you can change your password",,hieu nhu,6392e5b0fde064eda2f2f3db,,,,,,,,,,,,message displayed: Your account has been updated.,,,,,,,,,,BAN-7,New Account,,,message displayed: Your account has been updated.,,,,,0|i001lj:,,BAN Sprint 3,,,,,,,,System,"1. on Cập nhật thông tin tài khoản
2. enter required field
3.enter tieptuc",,Pass,,,To Do
L33 - Verify Login - Password must not be blank,N7-34,10286,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:54 PM,06/Jan/23 3:54 PM,17/Mar/23 8:52 PM,,,0,Login,Password must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert "" Password must not be blank """,,,,,,,,,,,,,,"alert "" Password must not be blank """,,,,,0|i001l3:,,N7 Sprint 1,,,,,,,,Unit,"b1: enter email taolallc@gmail.com
b2: enter form submit",,Pass,,,To Do
EA27 - Verify Telephone Number – Character are not allowed to write letters,N7-33,10285,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:52 PM,06/Jan/23 3:53 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-30,Show error,,,,,,,,,,BAN-8,Edit Account,,,Telephone Number – Character are not allowed to write letters,,,,,0|i001kv:,,,,,,,,,,Unit,"Enter 0931566abghs
1.Submit",,Fail,,,To Do
"SC - Verify New Account -After successfully creating an account, you can log in",N7-32,10284,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,hieu nhu,6392e5b0fde064eda2f2f3db,hieu nhu,6392e5b0fde064eda2f2f3db,06/Jan/23 3:52 PM,06/Jan/23 4:13 PM,17/Mar/23 8:52 PM,,,0,NewAccount,"After successfully creating an account, you can log in",,hieu nhu,6392e5b0fde064eda2f2f3db,,,,,,,,,,,,Go to Account Info page,,,,,,,,,,BAN-7,New Account,,,Logged in successfully,,,,,0|i001kn:,,BAN Sprint 3,,,,,,,,System,"1. on new account
2. enter required field
3. tieptuc

4. on login
5. enter required
6. sub mit",,Pass,,,To Do
L32 - Verify Login - User-ID must not be blank,N7-31,10283,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:49 PM,06/Jan/23 3:49 PM,17/Mar/23 8:52 PM,,,0,Login, User-ID must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert "" Email must not be blank""",,,,,,,,,,,,,,"alert "" Email must not be blank""",,,,,0|i001kf:,,,,,,,,,,Unit,"b1: Enter password 123 from password form
b2: submit form",,Pass,,,To Do
EA27 - Verify  Telephone Number  – Special character are not allowed,N7-30,10282,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:48 PM,06/Jan/23 3:52 PM,16/Mar/23 8:42 AM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-33,,N7-29,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Verify  Telephone Number  – Special character are not allowed,,,,,0|i001k7:,,,,,,,,,,Unit,"Enter !@#
1.Submit",,Fail,,,To Do
EA26 - Verify Telephone Number – Mobile no must not be blank,N7-29,10281,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:46 PM,06/Jan/23 3:48 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-30,,N7-28,Show error,,,,,,,,,,BAN-8,Edit Account,,,Telephone Number – Mobile no must not be blank,,,,,0|i001jz:,,,,,,,,,,Unit,"
1.Submit",,Pass,,,To Do
EA25 - Verify Address - Special characters are not allowed,N7-28,10280,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:43 PM,06/Jan/23 3:46 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-29,,N7-26,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Verify Address - Special characters are not allowed,,,,,0|i001jr:,,,,,,,,,,Unit,"1. Enter !@#
1.Submit",,Pass,,,To Do
CP31 - Verify Change password - Password must be between 4 and 20 characters,N7-27,10279,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:40 PM,06/Jan/23 3:43 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,Password must be between 4 and 20 characters,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""Password must be between 4 and 20 characters """,,,,,,,,,,BAN-5,Change Password,,,"alert ""Password must be between 4 and 20 characters """,,,,,0|i001jj:,,,,,,,,,,Unit,"b1: Enter 123 from Old Password
b2: Enter 123 from New Password
b2: Enter submit form",,Pass,,,To Do
EA24 - Verify Address - First character can not have space,N7-26,10278,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:40 PM,06/Jan/23 3:44 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-28,,N7-25,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Verify Address - First character can not have space,,,,,0|i001jb:,,,,,,,,,,Unit,1.Submit,,Pass,,,To Do
EA23 - Verify Address - Address Field must not be blank,N7-25,10277,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:38 PM,06/Jan/23 3:42 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-26,,N7-21,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Address - First character can not have space,,,,,0|i001j3:,,,,,,,,,,Unit,"1. Enter a pace
2.Submit",,Pass,,,To Do
CP30 - Verify Change password - New Password must not be blank,N7-24,10276,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:37 PM,06/Jan/23 3:43 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,New Password must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""New Password must not be blank """,,,,,,,,,,BAN-5,Change Password,,,"alert ""New Password must not be blank """,,,,,0|i001iv:,,,,,,,,,,Unit,"b1: Enter 123 from Old Password
b2: Enter submit form",,Pass,,,To Do
EA22 - VerifyCustomer Name - First character cannot have space,N7-23,10275,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:37 PM,06/Jan/23 3:42 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-21,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Special characters are not allowed,,,,,0|i001in:,,,,,,,,,,Unit,"1. Enter !@#$
2. Submit",,Fail,,,To Do
CP29 - Verify Change password - Old Password must not be blank,N7-22,10274,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,Nguyen Thanh Loc,6299601fb407cc006900f3f4,06/Jan/23 3:36 PM,06/Jan/23 3:40 PM,17/Mar/23 8:52 PM,,,0,ChangePassword,Old Password must not be blank,,Nguyen Thanh Loc,6299601fb407cc006900f3f4,,,,,,,,,,,,"alert ""Old Password must not be blank """,,,,,,,,,,BAN-5,Change Password,,,"alert ""Old Password must not be blank """,,,,,0|i001if:,,N7 Sprint 1,,,,,,,,Unit,Enter submit form,,Pass,,,To Do
EA21 - Verify Customer Name -  Customer name must not be blank,N7-21,10273,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:34 PM,06/Jan/23 3:38 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-23,N7-25,N7-20,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,First character cannot have space,,,,,0|i001i7:,,,,,,,,,,Unit,"1. Enter a pace
2. Submit",,Pass,,,To Do
EA20 - Verify Customer Name – Special characters are not allowed,N7-20,10271,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:32 PM,06/Jan/23 3:35 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-21,,N7-19,Show error,,,,,,,,,,BAN-8,Edit Account,,,Customer name must not be blank,,,,,0|i001hr:,,,,,,,,,,Unit,1. Submit,,Pass,,,To Do
EA19 - Verify Customer Name – Numbers are not allowed,N7-19,10270,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:30 PM,06/Jan/23 3:32 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-20,,N7-18,Error-free display,,,,,,,,,,BAN-8,Edit Account,,, Numbers are not allowed,,,,,0|i001hj:,,,,,,,,,,Unit,"1. Enter 1234565
2. Submit",,Fail,,,To Do
EA18 - Verify Customer Name – Name must be between 1 and 32 characters,N7-18,10269,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:28 PM,06/Jan/23 3:32 PM,17/Mar/23 8:52 PM,,,0,EditAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-19,,,Show no error message,,,,,,,,,,BAN-8,Edit Account,,, Name must be between 1 and 32 characters,,,,,0|i001hb:,,N7 Sprint 1,,,,,,,,Unit,"1. Enter characters 1 to 32 characters
2. Submit",,Pass,,,To Do
NA17- Verify Customer password confim – Confirm the password must match the password,N7-17,10267,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:13 PM,06/Jan/23 3:19 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-16,Display without error,,,,,,,,,,BAN-7,New Account,,,Verify Customer password confim – Confirm the password must match the password,,,,,0|i001gv:,,,,,,,,,,Unit,"1. Enter 123456
2. Enter 123456
3. Submit",,Pass,,,To Do
NA16- Verify Customer password – Password must be between 4 and 20 characters,N7-16,10266,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 3:10 PM,06/Jan/23 3:19 PM,17/Mar/23 8:52 PM,,,0,NewAccount,Customer Name – Name must be between 1 and 32 characters,,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-17,,N7-15,Display without error,,,,,,,,,,BAN-7,New Account,,,Verify Customer password – Password must be between 4 and 20 characters,,,,,0|i001gn:,,,,,,,,,,Unit,"1.Enter full 4 to 20 characters
2.Submit",,Pass,,,To Do
